,neural_network(sigmoid),neural_network(tanh),neural_network(relu)
"[0.001, 0.001]",0.764950598023921,0.7240950753456579,0.7315519652011807
"[0.001, 0.01]",0.7795111804472179,0.7430480037284449,0.7420382165605095
"[0.001, 0.1]",0.8023920956838273,0.7465434208482212,0.7442908187043654
"[0.001, 1]",0.6536661466458659,0.7418051887525244,0.7305421780332453
"[0.001, 10]",0.8481539261570463,0.5848221221065714,0.5
"[0.001, 100]",0.15548621944877794,0.6527108901662265,0.5
"[0.01, 0.001]",0.7644305772230889,0.724250427217648,0.7315519652011807
"[0.01, 0.01]",0.7826313052522101,0.7390865309926985,0.7414944850085443
"[0.01, 0.1]",0.8070722828913156,0.7466210967842163,0.7428926518564549
"[0.01, 1]",0.6541861674466979,0.7419605406245146,0.7436694112164052
"[0.01, 10]",0.859594383775351,0.4686965977940034,0.5
"[0.01, 100]",0.15548621944877794,0.5,0.5
"[0.1, 0.001]",0.764950598023921,0.7247941587696132,0.7319403448811558
"[0.1, 0.01]",0.7831513260530422,0.7444461705763554,0.7416498368805344
"[0.1, 0.1]",0.8086323452938118,0.7408730775205842,0.7423489203044896
"[0.1, 1]",0.7753510140405616,0.681062606804412,0.7299984464812801
"[0.1, 10]",0.8445137805512221,0.5219822898865931,0.5
"[0.1, 100]",0.8445137805512221,0.5,0.5
"[1, 0.001]",0.7675507020280812,0.7251825384495884,0.7293770389933198
"[1, 0.01]",0.7795111804472179,0.7284449277613795,0.7328724561130961
"[1, 0.1]",0.7795111804472179,0.7313966133291906,0.7392418828646885
"[1, 1]",0.796671866874675,0.7282895758893895,0.7227745844337424
"[1, 10]",0.8445137805512221,0.5,0.5
"[1, 100]",0.8445137805512221,0.5,0.5
"[10, 0.001]",0.7613104524180967,0.7215317694578219,0.7215317694578219
"[10, 0.01]",0.7644305772230889,0.7209880379058567,0.7198228988659313
"[10, 0.1]",0.7685907436297452,0.7174149448500854,0.7154730464502097
"[10, 1]",0.843473738949558,0.7042100357309306,0.7095696753145876
"[10, 10]",0.8445137805512221,0.5,0.5
"[10, 100]",0.8445137805512221,0.5,0.5
"[100, 0.001]",0.15548621944877794,0.5,0.5
"[100, 0.01]",0.8445137805512221,0.5,0.5
"[100, 0.1]",0.8445137805512221,0.5,0.5
"[100, 1]",0.8445137805512221,0.5,0.5
"[100, 10]",0.8445137805512221,0.5,0.5
"[100, 100]",0.8445137805512221,0.5,0.5
